
             , Sta.Nu, Sh.in, Lif.in, LIFT, SWEAT, K index, Tot tot, 
12:00 19 Jul ,  76225,  -0.56,  -0.77,  -0.96,  193.22,  33.30,  47.40,  43.27,  -196.97
12:00 20 Jul ,  76225,  -0.64,  -0.30,  -0.49,  192.58,  32.10,  46.60,  21.35,  -235.24
00:00 21 Jul ,  76225,  -2.56,  -3.46,  -3.97,  231.38,  37.90,  52.40,  743.30,  -6.06
12:00 21 Jul ,  76225,  1.37,  0.97,  0.59,  163.40,  33.10,  43.80,  0.00,  -279.36
00:00 22 Jul ,  76225,  -3.09,  -3.66,  -4.22,  254.58,  41.50,  53.40,  1089.25,  -0.03
12:00 22 Jul ,  76225,  -0.87,  -0.82,  -0.99,  203.80,  36.60,  45.60,  135.88,  -88.68
00:00 23 Jul ,  76225,  -3.09,  -1.38,  -1.97,  264.60,  41.10,  53.60,  214.11,  -6.49
12:00 23 Jul ,  76225,  0.37,  0.81,  0.20,  204.39,  37.30,  44.40,  72.88,  -159.98
12:00 24 Jul ,  76225,  -0.49,  -0.68,  -0.90,  191.38,  35.10,  46.80,  52.23,  -226.22
12:00 26 Jul ,  76225,  1.35,  0.71,  0.64,  160.80,  31.70,  45.60,  0.00,  0.00,  0.00,  279.75,  29.21
12:00 27 Jul ,  76225,  -1.59,  -1.15,  -1.55,  195.59,  35.70,  47.80,  364.65,  -75.85
12:00 28 Jul ,  76225,  1.05,  1.13,  0.88,  181.59,  32.30,  44.00,  7.15,  -354.85
00:00 29 Jul ,  76225,  -3.21,  -3.08,  -3.34,  270.18,  38.90,  52.60,  780.11,  -102.38
12:00 29 Jul ,  76225,  -0.16,  0.26,  0.17,  171.19,  33.90,  46.60,  9.00,  -205.20
00:00 30 Jul ,  76225,  -2.16,  -2.93,  -3.31,  216.20,  38.90,  52.60,  685.04,  -0.75
12:00 30 Jul ,  76225,  -0.62,  -0.91,  -1.13,  171.80,  32.70,  47.60,  21.36,  -338.07
00:00 31 Jul ,  76225,  0.15,  -0.21,  -0.62,  197.01,  32.70,  44.60,  247.96,  -143.21
12:00 31 Jul ,  76225,  -0.62,  -0.44,  -0.87,  180.98,  32.10,  47.20,  47.03,  -258.09

12:00 01 Aug ,  76225,  -1.71,  -0.91,  -1.44,  193.61,  35.50,  50.40,  47.17,  -298.31
12:00 02 Aug ,  76225,  -1.35,  -1.65,  -1.92,  167.39,  34.50,  48.60,  101.79,  -188.66
12:00 03 Aug ,  76225,  -1.29,  -1.01,  -1.29,  174.57,  34.30,  48.00,  69.28,  -207.76
00:00 04 Aug ,  76225,  0.01,  -1.34,  -2.09,  124.39,  33.90,  49.40,  312.96,  0.00
12:00 04 Aug ,  76225,  -0.78,  -0.59,  -0.79,  210.39,  34.40,  45.10,  131.04,  -190.93
00:00 05 Aug ,  76225,  -2.65,  -3.12,  -3.90,  239.19,  37.90,  52.60,  1020.10,  -5.98
12:00 05 Aug ,  76225,  -1.61,  -2.11,  -2.46,  189.00,  36.30,  48.60,  554.72,  -179.58
00:00 06 Aug ,  76225,  -0.32,  -0.71,  -1.63,  156.60,  34.10,  49.60,  512.05,  -2.74
12:00 06 Aug ,  76225,  1.69,  1.86,  1.11,  166.20,  27.50,  43.80,  29.95,  -292.12
00:00 07 Aug ,  76225,  0.59,  0.35,  -0.47,  118.98,  30.70,  48.40,  74.36,  -10.24
12:00 07 Aug ,  76225,  -0.86,  -0.39,  -0.65,  158.81,  30.90,  49.00,  19.35,  -362.97
